Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Oksana Petrushevska,These ads ran without a disclaimer,≤100,1
Полтава Національний Корпус,These ads ran without a disclaimer,≤100,1
Гурт "Кораблі" Офіційна сторінка,These ads ran without a disclaimer,≤100,1
Шулявський міст,These ads ran without a disclaimer,≤100,3
Дядюшка Билли,These ads ran without a disclaimer,≤100,1
Ars entertainment,These ads ran without a disclaimer,≤100,1
ПРАВИЙ СЕКТОР Чернігів,These ads ran without a disclaimer,≤100,1
Анастасия Крыловская,These ads ran without a disclaimer,≤100,1
Infopost_ua,These ads ran without a disclaimer,≤100,12
Тарас Стецьків,These ads ran without a disclaimer,≤100,1
Записки Дальтоника,These ads ran without a disclaimer,≤100,2
Реконструкція алеї по вул. Гашека,These ads ran without a disclaimer,≤100,1
theБабель,These ads ran without a disclaimer,≤100,5
Міжнародне об'єднання Українських Націоналістів,These ads ran without a disclaimer,≤100,9
Pianoбой Дмитрий Шуров,These ads ran without a disclaimer,≤100,1
Вибори 2019-2020,These ads ran without a disclaimer,≤100,2
Зустріч з народним депутатом Олександром Черненко,These ads ran without a disclaimer,≤100,1
НЕК "Укренерго" - NPC Ukrenergo,These ads ran without a disclaimer,≤100,1
GirlPower Football School,These ads ran without a disclaimer,≤100,1
Союз виборців України,These ads ran without a disclaimer,≤100,1
MAFIA Чернігів,These ads ran without a disclaimer,≤100,2
LC Primelex,These ads ran without a disclaimer,≤100,1
Шлем виртуальной реальности VR,These ads ran without a disclaimer,≤100,1
Школа сімейного лікаря,These ads ran without a disclaimer,≤100,1
Тарас Виноградник,These ads ran without a disclaimer,≤100,7
ЦСП Вовкулака,These ads ran without a disclaimer,≤100,1
ЗЕ Команда - Городище,These ads ran without a disclaimer,≤100,1
Piranil,These ads ran without a disclaimer,≤100,3
Шпальта,These ads ran without a disclaimer,≤100,2
Стендап вечер,These ads ran without a disclaimer,≤100,1
Wse_ i _obovsem,These ads ran without a disclaimer,≤100,1
Александр Ильченко,These ads ran without a disclaimer,≤100,2
Українська Конопляна Асоціація,These ads ran without a disclaimer,≤100,1
Дмитрий Гордон фан,These ads ran without a disclaimer,≤100,1
18000: новини Черкас,Щепак Єлєна,≤100,1
FELGTECH,These ads ran without a disclaimer,≤100,1
Yoda Consult,These ads ran without a disclaimer,≤100,1
Громадська приймальня народного депутата України Віталія Івановича Гудзенка,These ads ran without a disclaimer,≤100,1
GigaCloud,These ads ran without a disclaimer,≤100,2
Web Academy - programming courses,These ads ran without a disclaimer,≤100,1
Профессорские Беседы,These ads ran without a disclaimer,≤100,1
БАНЯ Исаковича,These ads ran without a disclaimer,≤100,2
Krasa.agency,These ads ran without a disclaimer,≤100,1
Юрій Соловей,These ads ran without a disclaimer,≤100,1
Вільна Країна,These ads ran without a disclaimer,≤100,1
Женская одежда,These ads ran without a disclaimer,≤100,2
Совет добровольцев батальона "Донбасс",These ads ran without a disclaimer,≤100,2
Правда,These ads ran without a disclaimer,≤100,6
Об'єднання "Самопоміч" - Львів,These ads ran without a disclaimer,≤100,2
Офіційна сторінка Херсонської регіональної організації партії "За Життя",These ads ran without a disclaimer,≤100,2
ЗЕ Команда - Драбів,These ads ran without a disclaimer,≤100,1
Вадим Петрасюк,These ads ran without a disclaimer,≤100,2
Петрович,These ads ran without a disclaimer,≤100,2
Великий мир,These ads ran without a disclaimer,≤100,1
Приазовская Правда Плюс,These ads ran without a disclaimer,≤100,4
Halocheck,These ads ran without a disclaimer,≤100,2
BlowCollection,These ads ran without a disclaimer,≤100,1
Gazepoint,These ads ran without a disclaimer,≤100,1
Виборчий округ #21. Депутат Курсик Олександр,These ads ran without a disclaimer,≤100,1
Я есть ZP,These ads ran without a disclaimer,≤100,1
ЧаРівне.info (www.charivne.info),These ads ran without a disclaimer,≤100,1
Інститут суспільних досліджень,These ads ran without a disclaimer,≤100,1
Adriana Gallery,These ads ran without a disclaimer,≤100,5
Правий Сектор Оболонь,These ads ran without a disclaimer,≤100,1
ВГО "Сокіл" Київ,These ads ran without a disclaimer,≤100,3
BloknotApp - система  управления салоном красоты,These ads ran without a disclaimer,≤100,2
24 Канал,These ads ran without a disclaimer,≤100,2
"Новостная ДЫРА, Запорожье",These ads ran without a disclaimer,≤100,2
prozak.info,These ads ran without a disclaimer,≤100,1
Наш Полк,These ads ran without a disclaimer,≤100,1
LegalHub,These ads ran without a disclaimer,≤100,2
:: ПОЛЕЗНАЯ ГАЗЕТА НОВОМОСКОВСКА ::,These ads ran without a disclaimer,≤100,1
Громадська організація "Наше місто - Одеса",These ads ran without a disclaimer,≤100,1
Телеканал ВІККА,These ads ran without a disclaimer,≤100,6
Coco Bowl,These ads ran without a disclaimer,≤100,6
ПерманентныйМакияжХарьков,These ads ran without a disclaimer,≤100,1
Kamaliya,These ads ran without a disclaimer,≤100,1
Сергей Тюрев,These ads ran without a disclaimer,≤100,1
Стильні Діточки,These ads ran without a disclaimer,≤100,2
Dr. Bokatova,These ads ran without a disclaimer,≤100,2
Ваткины жабки,These ads ran without a disclaimer,≤100,1
Жукова Дина,These ads ran without a disclaimer,≤100,1
Єдність і Розвиток,Михайло Поперечнюк,≤100,3
Dingior,These ads ran without a disclaimer,≤100,2
Revolution Straws,These ads ran without a disclaimer,≤100,42
Kovalskiy.Official,These ads ran without a disclaimer,≤100,3
Мукачівська міська рада,These ads ran without a disclaimer,≤100,4
Giorgi Vashadze / გიორგი ვაშაძე,These ads ran without a disclaimer,≤100,4
Институт правовой политики и социальной защиты,These ads ran without a disclaimer,≤100,2
Iryna Nykytiuk,These ads ran without a disclaimer,≤100,2
White Roll,These ads ran without a disclaimer,≤100,1
Greenville на Печерську,These ads ran without a disclaimer,≤100,1
Союз Виборців Щит Миру,These ads ran without a disclaimer,≤100,1
За Порошенко,These ads ran without a disclaimer,≤100,1
23 y. o. Belarus,These ads ran without a disclaimer,≤100,1
ФОКУС,These ads ran without a disclaimer,≤100,1
Пресс-служба Николая Скорика,These ads ran without a disclaimer,≤100,1
Район.Луцьк,Анатолій Котлюк,≤100,3
SMMExpert,These ads ran without a disclaimer,≤100,1
Veronika Levitska,These ads ran without a disclaimer,≤100,1
bursaTV,These ads ran without a disclaimer,≤100,1
Ірина Федишин офіційна група  / Iryna Fedyshyn,These ads ran without a disclaimer,≤100,1
Smilekiki4,These ads ran without a disclaimer,≤100,17
Владислав1,These ads ran without a disclaimer,≤100,1
Агентство Недвижимости "Премьер",These ads ran without a disclaimer,≤100,1
Народне ПАДЛО,These ads ran without a disclaimer,≤100,3
Олексій Матюшенко,These ads ran without a disclaimer,≤100,2
Центр отдыха Maximym,These ads ran without a disclaimer,≤100,1
Heavy Consequence,These ads ran without a disclaimer,≤100,2
Правий Сектор Миколаїв,These ads ran without a disclaimer,≤100,2
Георгий Селянин,These ads ran without a disclaimer,≤100,1
Одесса За Гриценко,These ads ran without a disclaimer,≤100,6
Zox,These ads ran without a disclaimer,≤100,1
Юридическая фирма GBI LAW Studio,Valeria Balakaieva,≤100,2
Anna Pavlyuk,These ads ran without a disclaimer,≤100,2
Сказки Брабоша,These ads ran without a disclaimer,≤100,2
Ivan Zimbitskiy,These ads ran without a disclaimer,≤100,1
Євген Тєрєхов,These ads ran without a disclaimer,≤100,1
AXA Страхування,These ads ran without a disclaimer,≤100,2
Всеукраїнська Аграрна Рада,These ads ran without a disclaimer,≤100,1
Monica Bellucci - Lounge Cafe,These ads ran without a disclaimer,≤100,1
Сергій Воронов,Сергей Воронов,≤100,1
Газета УЖ,These ads ran without a disclaimer,≤100,2
CanadaVisa.com - Campbell Cohen Canadian Immigration Law Firm,These ads ran without a disclaimer,≤100,1
Odessa Info,These ads ran without a disclaimer,≤100,3
Traffic,These ads ran without a disclaimer,≤100,1
Jam Hotel,These ads ran without a disclaimer,≤100,1
Алло Гараж,These ads ran without a disclaimer,≤100,2
Boomf,These ads ran without a disclaimer,≤100,2
Центр громадського здоров’я МОЗ України,These ads ran without a disclaimer,≤100,2
Києво-Святошинський район,These ads ran without a disclaimer,≤100,1
Прагнемо ЗМІН,These ads ran without a disclaimer,≤100,6
Ксени,These ads ran without a disclaimer,≤100,1
Euromedia24,These ads ran without a disclaimer,≤100,2
Постійна комісія Київради з питань екологічної політики,These ads ran without a disclaimer,≤100,1
1991 Civic Tech Center,These ads ran without a disclaimer,≤100,1
Газета "Событие",These ads ran without a disclaimer,≤100,1
Katrin - ювелирный магазин,These ads ran without a disclaimer,≤100,2
Cali Lili,These ads ran without a disclaimer,≤100,3
visti.pro,These ads ran without a disclaimer,≤100,9
FStadium,These ads ran without a disclaimer,≤100,2
Команда Зеленського в Івано-Франківську,These ads ran without a disclaimer,≤100,1
Spacedekor,These ads ran without a disclaimer,≤100,3
This_is_hellwood,These ads ran without a disclaimer,≤100,1
Глеб Головійчук,These ads ran without a disclaimer,≤100,1
Міжнародний огляд з Юрієм Фізером,These ads ran without a disclaimer,≤100,1
Time&Place,These ads ran without a disclaimer,≤100,4
Конкурент,These ads ran without a disclaimer,≤100,4
some like it hot,These ads ran without a disclaimer,≤100,8
PUBG BAR,These ads ran without a disclaimer,≤100,2
Наші гроші. Львів,These ads ran without a disclaimer,≤100,1
Avoco_SportMarket,These ads ran without a disclaimer,≤100,1
Вільні Люди,These ads ran without a disclaimer,≤100,2
IPG - Международная политика и общество,These ads ran without a disclaimer,≤100,1
Олександр Данченко,These ads ran without a disclaimer,≤100,1
Periscope UA,These ads ran without a disclaimer,≤100,3
Побудуємо Київ разом,These ads ran without a disclaimer,≤100,4
Zaxid.Net,These ads ran without a disclaimer,≤100,1
Комунікаційна група XPR,These ads ran without a disclaimer,≤100,1
Зелене світло,These ads ran without a disclaimer,≤100,1
Odessit UA,These ads ran without a disclaimer,≤100,1
Alena Podoprihora,These ads ran without a disclaimer,≤100,1
Коларес,These ads ran without a disclaimer,≤100,2
Віктор Романюк,These ads ran without a disclaimer,≤100,1
Orbex,These ads ran without a disclaimer,≤100,4
KIEV  KYIV  КИЕВ,These ads ran without a disclaimer,≤100,2
Сергей Могила,These ads ran without a disclaimer,≤100,2
Etcetera,These ads ran without a disclaimer,≤100,7
SurzhenKo,These ads ran without a disclaimer,≤100,2
Львівський органний зал,These ads ran without a disclaimer,≤100,1
Віталій Мерінов - офіційна сторінка,These ads ran without a disclaimer,≤100,4
English with Nick,These ads ran without a disclaimer,≤100,1
Василь Лабайчук,Кирило Калашник,≤100,1
Only News,These ads ran without a disclaimer,≤100,7
Important,These ads ran without a disclaimer,≤100,2
Стильные модные детки и мамы,These ads ran without a disclaimer,≤100,1
Аналітична група "Левіафан",These ads ran without a disclaimer,≤100,1
Человек в Эпоху Перемен. Коучинг достижения невозможного,These ads ran without a disclaimer,≤100,1
Александр Подлесный,These ads ran without a disclaimer,≤100,2
Товары для детей и мам,These ads ran without a disclaimer,≤100,2
Kyiv City News,These ads ran without a disclaimer,≤100,5
Руслан Колєсніков,These ads ran without a disclaimer,≤100,3
�Sequoia�,These ads ran without a disclaimer,≤100,3
Чхало Татьяна,These ads ran without a disclaimer,≤100,1
Prokopenko & Associates,These ads ran without a disclaimer,≤100,1
Работа в Польше. Агентство "Ridewap",Ігор Коляда,≤100,1
Табір "Азовець",Табір "Азовець",≤100,1
ПРАВИЙ СЕКТОР Вінниця,Кирило Калашник,≤100,1
Valeriy Pysarenko - Валерий Писаренко - Валерій Писаренко,These ads ran without a disclaimer,≤100,1
Нижнее белье ручной работы,These ads ran without a disclaimer,≤100,1
The Economic Standard,These ads ran without a disclaimer,≤100,2
bazar,These ads ran without a disclaimer,≤100,2
Александр Ржавский,These ads ran without a disclaimer,≤100,5
"Новини Львова: Справжня Варта, Львів",These ads ran without a disclaimer,≤100,2
Медиавектор - новости. спорт онлайн,These ads ran without a disclaimer,≤100,1
Фикус. Магазин молодежной одежды,These ads ran without a disclaimer,≤100,1
SendGrid,SendGrid,≤100,1
Выборы. Николаев,These ads ran without a disclaimer,≤100,1
"Прокопівна, Лісова Ферма - Лесная Ферма",These ads ran without a disclaimer,≤100,2
Moneybum,These ads ran without a disclaimer,≤100,1
Общественная Политическая Газета,These ads ran without a disclaimer,≤100,2
Качественная одежда Украина,These ads ran without a disclaimer,≤100,1
Товары для комфорта и домашнего уюта,These ads ran without a disclaimer,≤100,1
Ze Fanat,These ads ran without a disclaimer,≤100,1
Офіційна сторінка Миколаївської регіональної організації партії "За Життя",These ads ran without a disclaimer,≤100,2
Esri,These ads ran without a disclaimer,≤100,6
Оля Полякова,These ads ran without a disclaimer,≤100,1
Партія Вільних Демократів,These ads ran without a disclaimer,≤100,4
ПРАВИЙ СЕКТОР Тернопільщина,These ads ran without a disclaimer,≤100,1
On Your Sleeve,ON YOUR SLEEVE,≤100,6
Мамы Харькова,These ads ran without a disclaimer,≤100,2
Ze Nikolaev,These ads ran without a disclaimer,≤100,1
Обмывать.News,These ads ran without a disclaimer,≤100,2
Партия 5.10 Полтавская область,These ads ran without a disclaimer,≤100,2
LPG массаж LIGHT BODY,These ads ran without a disclaimer,≤100,1
KMKSZ ISZ,These ads ran without a disclaimer,≤100,1
Источник,These ads ran without a disclaimer,≤100,2
Голос Карпат.ІНФО,These ads ran without a disclaimer,≤100,7
Beauty & Fashion & Style,These ads ran without a disclaimer,≤100,3
Свідома Молодь України,These ads ran without a disclaimer,≤100,2
Каяк Каное Центр Запорiжжя,These ads ran without a disclaimer,≤100,1
Газета Експрес,These ads ran without a disclaimer,≤100,1
Tommy White,These ads ran without a disclaimer,≤100,2
Vlad’n’Mari,These ads ran without a disclaimer,≤100,1
Новини. Хмельницький,These ads ran without a disclaimer,≤100,1
Мастер Круизов,These ads ran without a disclaimer,≤100,2
Вечірній Київ,These ads ran without a disclaimer,≤100,1
Сила Людей,Сила Людей,≤100,1
Alberta,These ads ran without a disclaimer,≤100,2
Celebriti Черкаси. Лазерна косметологія.,These ads ran without a disclaimer,≤100,3
Команданте-Лу,These ads ran without a disclaimer,≤100,3
Nepal Calls You,These ads ran without a disclaimer,≤100,2
Premier Shack,These ads ran without a disclaimer,≤100,7
Одеська політична платформа,These ads ran without a disclaimer,≤100,1
Sumki,These ads ran without a disclaimer,≤100,2
Александр Урюпин,These ads ran without a disclaimer,≤100,1
Андрій Іванчук,These ads ran without a disclaimer,≤100,1
"SKINS - рюкзаки, обложки на документы, кошельки от производителя",These ads ran without a disclaimer,≤100,1
｡‿｡Капусняк｡‿｡,These ads ran without a disclaimer,≤100,2
Протилежний Погляд LIVE,These ads ran without a disclaimer,≤100,1
Ресторан Титанік,These ads ran without a disclaimer,≤100,1
Humane Society International,Humane Society International,≤100,1
ISEI - Мережа Магазинів Краси,These ads ran without a disclaimer,≤100,1
Фонд Александра Грановского,These ads ran without a disclaimer,≤100,1
ПАТРІОТ,These ads ran without a disclaimer,≤100,2
Wholesome Culture,These ads ran without a disclaimer,≤100,4
Микола Хілько,These ads ran without a disclaimer,≤100,1
Об'єднання "Самопоміч" - Івано-Франківщина,These ads ran without a disclaimer,≤100,2
Україна,These ads ran without a disclaimer,≤100,2
The Voice Of Zongo International,These ads ran without a disclaimer,≤100,1
Coffeecell,These ads ran without a disclaimer,≤100,1
terrikon.com,These ads ran without a disclaimer,≤100,1
УКРОП Херсонщина,These ads ran without a disclaimer,≤100,2
Ігор Васюник,These ads ran without a disclaimer,≤100,1
Україна,These ads ran without a disclaimer,≤100,2
"Gazeta Ukrainska, il giornale per gli ucraini in Italia",These ads ran without a disclaimer,≤100,1
Поплавок,These ads ran without a disclaimer,≤100,1
Ужгородська круговерть,These ads ran without a disclaimer,≤100,2
The Hate Club,The Hate Club,≤100,2
Референдум о вступлении Украины в США,These ads ran without a disclaimer,≤100,1
Customcase.ua,These ads ran without a disclaimer,≤100,1
Хочу в отпуск,These ads ran without a disclaimer,≤100,1
Полк Победы,These ads ran without a disclaimer,≤100,1
mariksabat9,These ads ran without a disclaimer,≤100,1
TOP Bürgerliste Peuerbach,These ads ran without a disclaimer,≤100,2
Дмитрий Тютюн,These ads ran without a disclaimer,≤100,1
Депутат-Інформ,These ads ran without a disclaimer,≤100,1
ГО «ПРОЗОРИЙ ВИБІР»,These ads ran without a disclaimer,≤100,1
Crazy Quentin,These ads ran without a disclaimer,≤100,1
Unoff Nikita.,These ads ran without a disclaimer,≤100,1
VIOTISI,Дмитро Кисельов,≤100,2
Рух власників зброї "Твій голос вплине",These ads ran without a disclaimer,≤100,1
AgroPolit.com,These ads ran without a disclaimer,≤100,4
Yevgen October,These ads ran without a disclaimer,≤100,1
Харьков. Комментарии,These ads ran without a disclaimer,≤100,3
Traffic PRO - Продвижение бизнеса в Интернете,These ads ran without a disclaimer,≤100,2
Зашквар,These ads ran without a disclaimer,≤100,1
Зе Айтишник,These ads ran without a disclaimer,≤100,4
Україна знає,These ads ran without a disclaimer,≤100,1
«Белсат» українською,«Белсат»,≤100,2
Виталий Бойко,These ads ran without a disclaimer,≤100,1
Андрей Щиголь,These ads ran without a disclaimer,≤100,2
Свободная  Тимошенко,These ads ran without a disclaimer,≤100,2
Березний 24-Новини Великоберезнянщини,These ads ran without a disclaimer,≤100,1
ZRada - мобільна гра,These ads ran without a disclaimer,≤100,1
Анатолий Івахно,These ads ran without a disclaimer,≤100,2
Анатолій Гриценко: Безпека і Справедливість,These ads ran without a disclaimer,≤100,1
Тут Говорят Правду,These ads ran without a disclaimer,≤100,1
Ivan Smirenskiy,These ads ran without a disclaimer,≤100,1
Personal Stylist Margarita Muradova,These ads ran without a disclaimer,≤100,1
ГО Команда 2019,These ads ran without a disclaimer,≤100,2
Big Tools,These ads ran without a disclaimer,≤100,1
Андрій Цибульський,These ads ran without a disclaimer,≤100,1
Alisa biriuk,These ads ran without a disclaimer,≤100,1
ЖК Great - ЖК Грейт,These ads ran without a disclaimer,≤100,1
Володимир Гевко,These ads ran without a disclaimer,≤100,1
Zion8studiojahpan,These ads ran without a disclaimer,≤100,5
АвтокріслаCom,These ads ran without a disclaimer,≤100,2
Запорожье ЗА БОЙКО,These ads ran without a disclaimer,≤100,1
Анатолій Мирошниченко / Anatoliy Myroshnychenko,These ads ran without a disclaimer,≤100,1
Mercy Bakery,These ads ran without a disclaimer,≤100,61
Качур Дмитро,These ads ran without a disclaimer,≤100,4
Народна влада України,Матрей Андрей,≤100,2
youcontrol.com.ua - Ю-Контрол,These ads ran without a disclaimer,≤100,1
Телерадіооб'єднання "Контакт",These ads ran without a disclaimer,≤100,2
Turboweb. Честный интернет-маркетинг,These ads ran without a disclaimer,≤100,3
West Side Auto,These ads ran without a disclaimer,≤100,1
Краматорск Реальность,These ads ran without a disclaimer,≤100,2
Андрій Кисіль-сторінка,These ads ran without a disclaimer,≤100,2
OshKosh B'gosh,These ads ran without a disclaimer,≤100,3
ZAMES,These ads ran without a disclaimer,≤100,1
Coolest APPs of the Year,These ads ran without a disclaimer,≤100,8
Funtripto - отправляем в путешествие сюрприз,These ads ran without a disclaimer,≤100,5
"1.000.000 громадян України, в підтримку Максима Голосного",These ads ran without a disclaimer,≤100,1
«Чесних Більше» Харків,These ads ran without a disclaimer,≤100,4
Жить в Украине. Автор Александр Образцов,These ads ran without a disclaimer,≤100,1
Кукловоды Одесчины,These ads ran without a disclaimer,≤100,4
Serge Lavrinchuck,These ads ran without a disclaimer,≤100,1
Волинь24,These ads ran without a disclaimer,≤100,1
Автомагазин Bibioil.com,These ads ran without a disclaimer,≤100,1
Анна Гнатюк,These ads ran without a disclaimer,≤100,1
Технологічний кандидат,Роман Бондаренко,≤100,3
Nazarii Fedorchuk,These ads ran without a disclaimer,≤100,2
Укроп.org,These ads ran without a disclaimer,≤100,2
Taras,These ads ran without a disclaimer,≤100,1
Top Rate,These ads ran without a disclaimer,≤100,1
Третий Цифровой,Dmytro Ptyashko,≤100,1
Асабісты капітал,These ads ran without a disclaimer,≤100,1
Юрий Солод,These ads ran without a disclaimer,≤100,1
Марафон Желаний,These ads ran without a disclaimer,≤100,1
ZOO.M,These ads ran without a disclaimer,≤100,1
Александр Нечипоренко,These ads ran without a disclaimer,≤100,1
Анатолій Бондаренко - міський голова Черкас,Анатолiй Бондаренко,≤100,2
Юрій,These ads ran without a disclaimer,≤100,1
Save The Bees,Bee Site,≤100,12
Зе Айтішник,These ads ran without a disclaimer,≤100,2
Ritual,These ads ran without a disclaimer,≤100,2
Володимир Назаренко - депутат Київради,These ads ran without a disclaimer,≤100,2
Активні Громадяни,These ads ran without a disclaimer,≤100,4
Matchington Mansion,These ads ran without a disclaimer,≤100,11
Патриотика на озерах,These ads ran without a disclaimer,≤100,5
LIFE,These ads ran without a disclaimer,≤100,6
Kristina Karpova,These ads ran without a disclaimer,≤100,1
Руслан Степура,These ads ran without a disclaimer,≤100,1
Україна єдина і неподільна,These ads ran without a disclaimer,≤100,1
"Самооборона Дніпропетровська, сотня імені Дмитра Пелипенка",These ads ran without a disclaimer,≤100,2
Александр Кирш,These ads ran without a disclaimer,≤100,1
Прес-служба депутата Фурсівської ОТГ Вадима Харути,These ads ran without a disclaimer,≤100,2
Euromedia24.com,These ads ran without a disclaimer,≤100,4
Na Парижі,These ads ran without a disclaimer,≤100,1
Ukraine News,These ads ran without a disclaimer,≤100,4
Агентство Недвижимости "Премьер",These ads ran without a disclaimer,≤100,2
Житомирська обласна організація Політичної партії "Народний Рух України",These ads ran without a disclaimer,≤100,1
Михайло Поживанов,These ads ran without a disclaimer,≤100,1
Про ФАКТИ,These ads ran without a disclaimer,≤100,4
Yulia Documentary,These ads ran without a disclaimer,≤100,2
Правда Ірпеня,These ads ran without a disclaimer,≤100,2
Слуга Народа. Николаев,These ads ran without a disclaimer,≤100,3
Amnesia AMN. Одежда. Турция,These ads ran without a disclaimer,≤100,1
Basmah,These ads ran without a disclaimer,≤100,20
Вєсті-UA,These ads ran without a disclaimer,≤100,1
Большой ПУ,These ads ran without a disclaimer,≤100,2
Vladislav Bobko,These ads ran without a disclaimer,≤100,1
ВО "Свобода",These ads ran without a disclaimer,≤100,1
Новини,These ads ran without a disclaimer,≤100,2
Криворізька міська організація ВО "Батьківщина",These ads ran without a disclaimer,≤100,1
Панорама Київщини,These ads ran without a disclaimer,≤100,2
Limerence_shop_ua,These ads ran without a disclaimer,≤100,2
MAG Audio.,These ads ran without a disclaimer,≤100,1
Слідство.Інфо,These ads ran without a disclaimer,≤100,1
Denis  Cholovskyi,These ads ran without a disclaimer,≤100,1
Бужнет,These ads ran without a disclaimer,≤100,1
Дороги в Україні Громадський Контроль,These ads ran without a disclaimer,≤100,1
Адвокатське бюро «Ганни Шерстюк»,These ads ran without a disclaimer,≤100,1
Школа англійської мови Bright,These ads ran without a disclaimer,≤100,1
Арт-студія "Совушка",These ads ran without a disclaimer,≤100,2
Roksolana.,These ads ran without a disclaimer,≤100,1
ШОППЕРЫ ТОРБЫ САЛО РЕПЕРЫ,These ads ran without a disclaimer,≤100,1
UA: Перший,These ads ran without a disclaimer,≤100,1
Здоровье по Аюрведе с Олегом Торгало,These ads ran without a disclaimer,≤100,1
mariupol.tv - Мариуполь ТВ,These ads ran without a disclaimer,≤100,3
Правозахисний центр "Ліга жінок - виборців",These ads ran without a disclaimer,≤100,1
CooTek,These ads ran without a disclaimer,≤100,1
Jesse Elder,These ads ran without a disclaimer,≤100,2
Українська Галицька Партія. Львівщина,These ads ran without a disclaimer,≤100,1
Masha ne Vasha,These ads ran without a disclaimer,≤100,1
UAportal,These ads ran without a disclaimer,≤100,1
Laznya.kiev.ua Лучшие сауны и бани Киева,These ads ran without a disclaimer,≤100,1
Анастасия Мелашенко,These ads ran without a disclaimer,≤100,1
Vinnytsia1,These ads ran without a disclaimer,≤100,1
Наживо-TV,These ads ran without a disclaimer,≤100,2
Експерт-КР - експертне відео про Кривий Ріг,These ads ran without a disclaimer,≤100,1
Виборчі схеми від Дубинського,These ads ran without a disclaimer,≤100,1
The Information,These ads ran without a disclaimer,≤100,4
Dmitriy Terehov,These ads ran without a disclaimer,≤100,2
Волинь.Солідарність,These ads ran without a disclaimer,≤100,1
ze_zelenskiy_2tur,These ads ran without a disclaimer,≤100,2
Національний Корпус Чернівці,These ads ran without a disclaimer,≤100,1
Busech Shopping,These ads ran without a disclaimer,≤100,7
Антивсепропальщик/Антипопуліст,These ads ran without a disclaimer,≤100,3
Олесь Маляревич,These ads ran without a disclaimer,≤100,2
Smart Education Agency,These ads ran without a disclaimer,≤100,5
Марина Юдина,These ads ran without a disclaimer,≤100,1
Все для швейного бизнеса Leg-prom,These ads ran without a disclaimer,≤100,1
eq.eco,These ads ran without a disclaimer,≤100,8
Руслан Демчак,These ads ran without a disclaimer,≤100,1
Демальянс - Чернігів,These ads ran without a disclaimer,≤100,1
Митний брокер Юрій Кохан,These ads ran without a disclaimer,≤100,1
ВМ-Техніка,These ads ran without a disclaimer,≤100,1
Зелений Фонд,These ads ran without a disclaimer,≤100,3
Ваня Якимов,These ads ran without a disclaimer,≤100,1
Перепрошую,These ads ran without a disclaimer,≤100,1
ТРК Грант,These ads ran without a disclaimer,≤100,1
ИП Нарышкин Д.Э.,These ads ran without a disclaimer,≤100,2
XXX,These ads ran without a disclaimer,≤100,1
OG SPH!NX �,These ads ran without a disclaimer,≤100,1
Фонд Розвитку Міст,These ads ran without a disclaimer,≤100,3
Виктория Егоян,These ads ran without a disclaimer,≤100,2
Україна,These ads ran without a disclaimer,≤100,1
City.Ua,These ads ran without a disclaimer,≤100,1
IPG Работа в ЕС,These ads ran without a disclaimer,≤100,1
Type & Translate,These ads ran without a disclaimer,≤100,2
Донбасс Реалии,These ads ran without a disclaimer,≤100,1
Интернет-газета Восточный Вариант,These ads ran without a disclaimer,≤100,1
А ти знав? Білопілля,These ads ran without a disclaimer,≤100,2
fromua.news,These ads ran without a disclaimer,≤100,1
The Renegade Pharmacist,These ads ran without a disclaimer,≤100,2
Турагентство "Гранд Вояж" на Юбилейной 56,These ads ran without a disclaimer,≤100,1
Виталий Игнатенко,These ads ran without a disclaimer,≤100,1
Foxy_Anicorn_Art,These ads ran without a disclaimer,≤100,1
Afisha Dnepra,These ads ran without a disclaimer,≤100,2
Forspace,These ads ran without a disclaimer,≤100,2
Ната Тюрина,These ads ran without a disclaimer,≤100,1
Україна сьогодні,These ads ran without a disclaimer,≤100,2
Святошинська "Свобода" м. Київ,These ads ran without a disclaimer,≤100,1
УНН - Українські Національні Новини,These ads ran without a disclaimer,≤100,4
ТАСКОМБАНК,These ads ran without a disclaimer,≤100,1
Photozhaber,These ads ran without a disclaimer,≤100,2
Кадимян Давид,These ads ran without a disclaimer,≤100,2
Выборы 2019,These ads ran without a disclaimer,≤100,1
Катерина Шамардіна,These ads ran without a disclaimer,≤100,1
Телекритика,These ads ran without a disclaimer,≤100,1
Днепровская Панорама,These ads ran without a disclaimer,≤100,6
Our Faith,These ads ran without a disclaimer,≤100,15
Телеканал TVi,These ads ran without a disclaimer,≤100,1
Суспільне мовлення,These ads ran without a disclaimer,≤100,1
Save the Turtles,These ads ran without a disclaimer,≤100,19
Lev Partskhaladze,These ads ran without a disclaimer,≤100,1
Ірпінь за Анатолія Гриценка,These ads ran without a disclaimer,≤100,2
Palestra fitness club,These ads ran without a disclaimer,≤100,1
"CosmoPizza, КосмоПіца",These ads ran without a disclaimer,≤100,1
Студентська Свобода,These ads ran without a disclaimer,≤100,2
Інноваційна школа Unique,These ads ran without a disclaimer,≤100,1
Kiev_info24,These ads ran without a disclaimer,≤100,3
Новини,These ads ran without a disclaimer,≤100,1
emWave,These ads ran without a disclaimer,≤100,1
enot_pab_kr,These ads ran without a disclaimer,≤100,1
Gram,These ads ran without a disclaimer,≤100,9
Вадим Плескачов,These ads ran without a disclaimer,≤100,2
Українська Асоціація Видобувачів Піску - УАВП,These ads ran without a disclaimer,≤100,1
