Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Херсон за ПП,Ростислав Супрунов,≤100,9
Полк Победы,Андрiй Iванов,≤100,21
Зе сообщество Слуга Народа 35+  _Одесская область_,Sergiy Shumsky,≤100,8
Українська правда,These ads ran without a disclaimer,≤100,1
Growth hacker - Andrey Fedorov,These ads ran without a disclaimer,≤100,1
Україна потребує нових еліт,Ігор Денисов,≤100,5
РБК-Украина,These ads ran without a disclaimer,≤100,12
Нацкорпус,ПП "Національний Корпус",≤100,6
Лаборатория Правды,These ads ran without a disclaimer,≤100,9
Команда Зеленського у Білій Церкві,Зе!команда,≤100,5
Республіка,Oleksandr Shcherba,≤100,13
Тelegram,These ads ran without a disclaimer,≤100,1
БАНЯ Исаковича,Василь Волошин,≤100,4
УКРОП Українське об'єднання патріотів,These ads ran without a disclaimer,≤100,7
Ivan Dadiverin Jewelry,These ads ran without a disclaimer,≤100,1
Телеграм канал,These ads ran without a disclaimer,≤100,11
Українська політична арена,Ігор Денисов,≤100,4
Громадський Контроль,Громадський Контроль,≤100,2
СТОП ГНИДА,These ads ran without a disclaimer,≤100,3
Стасюк Роман офіційна сторінка депутата,These ads ran without a disclaimer,≤100,3
Передові Правові Ініціативи,These ads ran without a disclaimer,≤100,2
NGO Centre UA,Федiр Попадюк,≤100,1
Врятуймо,These ads ran without a disclaimer,≤100,5
Защитим русский язык в Украине,Андрiй Iванов,≤100,12
Експерт-КР - експертне відео про Кривий Ріг,Експерт-КР - експертне відео про Кривий Ріг,≤100,7
Батьківщина Одеса,These ads ran without a disclaimer,≤100,11
Успішна варта: Права человека в Украине,These ads ran without a disclaimer,≤100,2
Kyiv LIVE,These ads ran without a disclaimer,≤100,3
Технологічний кандидат,These ads ran without a disclaimer,≤100,2
Детектор медіа,Юлiя Зелiнська,≤100,9
Большой Киев,These ads ran without a disclaimer,≤100,2
Save Dnipro,Save Dnipro,≤100,3
Природа фото,These ads ran without a disclaimer,≤100,3
Помоги Армии Украины напрямую,These ads ran without a disclaimer,≤100,12
espreso.tv,These ads ran without a disclaimer,≤100,2
Олексій Матюшенко,Олексій Матюшенко,≤100,4
Партія Вільних Демократів,Iрина Лапська,≤100,10
Солнечная,These ads ran without a disclaimer,≤100,1
УКРОП Київщина,УКРОП Українське об'єднання патріотів,≤100,1
